City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,onguday,50.75,86.15,49.24,72,91,2.13,RU,1684964198
127,tezu,27.9167,96.1667,70.88,95,99,3.0,IN,1684964198
128,zaozersk,69.4005,32.4476,53.19,62,100,19.01,RU,1684964198
129,mulayjah,27.271,48.4242,92.46,23,96,6.02,SA,1684964198
130,howard springs,-12.497,131.047,67.91,61,83,6.44,AU,1684964199
131,smidovich,48.6,133.8167,65.25,60,90,12.57,RU,1684964199
132,balabac,7.9868,117.0645,80.98,80,100,9.24,PH,1684964199
133,taoudenni,22.6783,-3.9836,83.7,32,100,6.55,ML,1684964199
134,san felice circeo,41.2372,13.0942,68.92,81,0,4.5,IT,1684964199
135,kalmunai,7.4167,81.8167,79.5,82,5,4.41,LK,1684964199
136,jincheng,35.5022,112.8328,59.02,78,100,1.68,CN,1684964199
137,westport,41.1415,-73.3579,71.74,64,0,6.91,US,1684964199
138,saipan,15.1355,145.701,81.97,82,100,45.48,MP,1684964199
139,sao joao da barra,-21.6403,-41.0511,69.89,79,1,7.0,BR,1684964126
140,labrador city,52.9463,-66.9114,39.11,65,100,8.05,CA,1684964200
141,tabou,4.423,-7.3528,80.01,89,100,10.11,CI,1684964200
142,margate,51.3813,1.3862,54.3,83,52,4.0,GB,1684964145
143,havre,49.5833,0.3333,54.34,87,0,9.22,FR,1684964200
144,deneysville,-26.8908,28.0971,53.55,34,19,6.2,ZA,1684964200
145,susuman,62.7833,148.1667,36.93,72,23,4.56,RU,1684964200
146,mingyue,43.1069,128.9217,61.83,43,45,5.35,CN,1684964200
147,lai,9.3952,16.2989,88.09,46,100,3.69,TD,1684964200
148,goundam,16.4145,-3.6708,95.97,15,92,16.22,ML,1684964200
149,vikhorevka,56.1201,101.1636,36.99,97,100,12.88,RU,1684964200
150,belleville,44.1788,-77.3705,60.58,43,20,16.11,CA,1684964201
151,nuku'alofa,-21.1333,-175.2,77.34,73,75,2.3,TO,1684964201
152,hargeysa,9.56,44.065,70.5,77,75,9.84,SO,1684964201
153,kapa'a,22.0752,-159.319,82.38,71,40,16.11,US,1684964201
154,san jose del cabo,23.0589,-109.6977,91.69,29,40,13.8,MX,1684964014
155,praia,14.9215,-23.5087,73.94,78,40,17.27,CV,1684963941
156,khorixas,-20.3667,14.9667,62.53,47,2,1.72,NA,1684964201
157,beidao,34.5686,105.8933,61.36,79,100,1.19,CN,1684964201
158,okhotsk,59.3833,143.3,35.87,89,100,4.88,RU,1684964201
159,hammerfest,70.6634,23.6821,39.65,93,40,4.61,NO,1684964201
160,severo-yeniseyskiy,60.3725,93.0408,27.68,95,50,3.0,RU,1684964201
161,quepos,9.4236,-84.1652,82.99,77,63,3.6,CR,1684964202
162,tionk essil,12.7856,-16.5217,82.45,62,100,11.77,SN,1684964202
163,nishinoomote,30.7333,131.0,71.17,55,71,12.75,JP,1684964202
164,bilibino,68.0546,166.4372,44.08,58,35,3.56,RU,1684964202
165,san patricio,28.017,-97.5169,92.16,54,34,10.8,US,1684964202
166,vilyuchinsk,52.9306,158.4028,52.07,80,5,8.08,RU,1684964202
167,santa rosalia,27.3167,-112.2833,83.71,32,6,3.87,MX,1684964202
168,enewetak,11.3474,162.3373,82.13,76,100,14.41,MH,1684964202
169,alaghsas,17.0187,8.0168,97.2,15,54,3.83,NE,1684964202
170,callao,-12.0667,-77.15,75.49,64,0,12.66,PE,1684964178
171,wum,6.3833,10.0667,68.09,93,99,2.71,CM,1684964203
172,gereshk,31.8209,64.5701,82.36,15,0,25.64,AF,1684964203
173,kailua-kona,19.6406,-155.9956,82.36,82,40,12.66,US,1684964126
174,caleta olivia,-46.4393,-67.5281,50.5,38,7,29.19,AR,1684964203
175,road town,18.4167,-64.6167,84.29,70,20,6.91,VG,1684964203
176,papao,-17.75,-149.55,83.66,77,9,5.73,PF,1684964203
177,al bawiti,28.3492,28.8659,75.06,40,65,9.6,EG,1684964203
178,alice springs,-23.7,133.8833,38.75,75,0,3.04,AU,1684964108
179,kerema,-7.9631,145.7785,77.13,88,100,2.42,PG,1684964203
180,howrah,22.5892,88.3103,78.8,94,20,3.44,IN,1684964203
181,mirny,62.5353,113.9611,41.23,52,97,15.99,RU,1684964203
182,colonia,50.9333,6.95,54.82,83,0,2.3,DE,1684964041
183,jinchang,38.4953,102.1739,53.06,32,73,4.38,CN,1684964204
184,belyy yar,53.6039,91.3903,31.89,64,0,2.24,RU,1684964204
185,dara,15.3484,-15.4799,100.36,23,92,17.43,SN,1684964204
